id,name,country,city,zip,address,position,state,description,phone,category,actions_serialized,store_img,stores,schedule,marker_img,show_schedule,url_key,meta_title,meta_description,meta_robots,short_description,canonical_url
1403,18plus,US,Laredo,78045,412 Enterprise st,,57,,(210) 401-3606,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1404,2020 Video & More,US,Annapolis,21401,2020 West St.,,31,,410 266 0514,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1405,210th BV,NL,Amsterdam,1052 AR,De Wittenstraat 109-111 hs,,,,+31 (0)624661202,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1406,24HourAdultMart,CA,Toronto,M4Y1Y8,540 Yonge St,,,,647-351-8005,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1407,2nd St. News & Video,US,Albuquerque,87107,6900 2nd Street NW,,42,,505-344-9662,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1408,3xsexnovelties,US,davie,33325,1030 sw 135th way,,18,,(954) 534-5472,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1409,4-Play Video,US,Palm Harbor,34684,35936 US 19 North,,18,,727-789-0310,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1410,51 Video & Books - Adultmart,US,Elizabeth,15037,931 Hayden Blvd,,51,,(412) 384-6383,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1411,69 Adult Toys,US,Sherman Oaks,91403,14510 Ventura Blvd,,12,,818-996-4331,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1412,69 Adult Toys,US,Tarzana,91356,18543 Ventura Blvd,,12,,818-996-4080,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1413,84 Video - Adultmart,US,Kingsville,44048,3407 State Route 84,,47,,(440) 224-3617,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1414,8th Ave Video,US,Hudson,34667,18329 US 19 Unit FHu,,18,,(630) 248-5735,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1415,A & K Enterprise,US,Phila,19144,253 E Armstrong St,,51,,267-971-4947,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1417,A Touch of Romance- Brea,US,Brea,92821,690 E Imperial Hwy,,12,,714-529-7364,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1418,A Touch of Romance- Orange,US,Orange,92867,1225 Tustin Ave,,12,,714-538-6419,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1419,A Touch of Romance- Tarzana,US,Tarzana,91356,19212 Ventura Blvd,,12,,818-774-9030,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1420,A Touch of Romance-Cerritos,US,Cerritos,90703,11332 E South St,,12,,562-402-3747,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1421,A Touch of Romance-Culver City,US,Culver City,90230,5901 S Sepulveda Blvd,,12,,310-391-1346,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1422,A Touch of Romance-Riverside,US,Riverside,92503,10281 Magnolia Ave,,12,,951-352-0474,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1423,A Touch of Romance-Westminster,US,Westminster,92683,15086 Goldenwest St,,12,,714-892-3983,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1425,XXXCITE Superstore,US,Austin,78728,15316 N. IH-35,,57,,512-990-2144,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1426,"Ace liquor ",US,Hanford,92320,756 East Lacey,,12,,559 5844008,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1427,Adam & Eve,US,Jacksonville,32218,1440 Dunn Ave Ste 16,,18,,904-714-1552,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1428,Adam & Eve,US,Greenville,29607,1659-D Woodruff Rd.,,54,,864.520.1143,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1429,Adam & Eve,US,Hillsborough,27278,302 Meadowlands Dr,,44,,919-644-8100,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1430,Adam & Eve,US,Nampa,83686,4213 Garrity Blvd,,22,,208-406-6315,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1431,Adam & Eve,US,Dearborn Heights,48125,4525 Telegraph,,33,,313 274 7558,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1432,Adam & Eve,US,Mooresville,28117,"480-B River Highway ",,44,,704.664.1800,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1433,Adam & Eve,US,San Antonio,78229,5117 Fredericksburg Rd,,57,,210-348-9401,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1434,Adam & Eve,US,Boise,83704,6919 W Fairview Ave,,22,,(208) 406-6315,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1435,Adam & Eve,US,San Antonio,78216,6957 San Pedro Ave,,57,,210-348-6902,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1436,"Adam & Eve ",US,St Augustine,32084,1590 U.S. 1 S,,18,,904-823-9499,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1437,Adam & Eve - SR 16,US,St Augustine,32092,2565 S R 16,,18,,904-829-0912,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1438,Adam & Eve Superstore,US,Seekonk,2771,1080 Fall River Ave,,32,,(508) 336-0202,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1439,ADAM & EVE SUPERSTORE,US,NORWOOD,2062,1570 BOSTON PROVIDENCE HWY,,32,,781-269-5788,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1440,Adam and Eve,US,Boise,83704,348 W. Bosanko Unit C,,22,,(208) 664-1400,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1441,Adam and Eve,US,Nampa,83686,4213 Garrity Blvd.,,22,,(208) 461-4676,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1442,Adam and Eve,US,Boise,83704,6919 W. Fairview Ave,,22,,(208) 376-0068,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1444,adam n eve,AU,fyshwick,2609,107 gladstone st,,,,61 2 61620083,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1445,Add Some Spice,AU,Moolooloha Valley,4553,6 Fern Gully Place,,,,(43) 175-3580,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1446,Adult Depot Superstore,US,Miami,33157,19100 SW106 TH Ave Suite 4,,18,,305-259-6969,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1447,Adult Emporium,US,Huntsville,35806,6390 University Dr.,,1,,256-755-1893,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1448,Adult Fun Superstore,CA,Ottawa,K1G 1A1,1565 St.Laurent Blvd,,,,613-741-7200,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1449,Adult Lollipop Treats,US,Atlanta,30305,3165 Roswell Rd Ne,,7,,404.816.8299,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
1450,Adult Merchandise Mart,US,Pittsburgh,15236,4611 McKnight Rd,,51,,(412) 931-1166,,"{""type"":""Magento\\CatalogRule\\Model\\Rule\\Condition\\Combine"",""attribute"":null,""operator"":null,""value"":true,""is_value_processed"":null,""aggregator"":""all""}",,",0,",,,1,,,,,,
